branch,Name,Research Area,PhD From,Research Description
chemical,Dr. T. J. Dhilip Kumar,"Electronic structure calculations, chemical kinetics, reaction dynamics, computational chemistry",IIT Madras,"This research area focuses on Electronic structure calculations, chemical kinetics, reaction dynamics, computational chemistry. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Yashveer Singh,"Biomaterials, drug delivery, antibacterial materials, wound healing, tissue engineering",IIT Kanpur,"This research area focuses on Biomaterials, drug delivery, antibacterial materials, wound healing, tissue engineering. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Manoj Kumar Pandey,"Chemical physics, physical chemistry, NMR (quantum spin dynamics)",IIT Delhi,"This research area focuses on Chemical physics, physical chemistry, NMR (quantum spin dynamics). It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Sudipta Kumar Sinha,"Theoretical & computational physical chemistry, biophysical chemistry",IIT Kharagpur,"This research area focuses on Theoretical & computational physical chemistry, biophysical chemistry. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Soumyajit Das,"Organic chemistry, π-conjugated molecules & materials",IISER Pune,"This research area focuses on Organic chemistry, π-conjugated molecules & materials. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Tharamani C. N.,"Electrochemistry, fuel cells, nanostructured materials, electrocatalysis",CSIR-Central Electrochemical Research Institute / Anna University,"This research area focuses on Electrochemistry, fuel cells, nanostructured materials, electrocatalysis. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Rajendra Srivastava,"Catalysis, synthesis of nanoporous materials, sustainable catalysis","CSIR-National Chemical Laboratory (NCL), Pune","This research area focuses on Catalysis, synthesis of nanoporous materials, sustainable catalysis. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Prabal Banerjee,Synthetic organic chemistry,IIT Kanpur,"This research area focuses on Synthetic organic chemistry. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Nagaraja C. Mallaiah,"Inorganic chemistry, organometallic chemistry, materials chemistry",IIT Bombay,"This research area focuses on Inorganic chemistry, organometallic chemistry, materials chemistry. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Indranil Chatterjee,"Synthetic organic chemistry, photoredox chemistry, organocatalysis, asymmetric synthesis","RWTH Aachen University, Germany","This research area focuses on Synthetic organic chemistry, photoredox chemistry, organocatalysis, asymmetric synthesis. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Anupam Bandyopadhyay,"Biomimetic chemistry, peptide-based diagnostics & therapeutics",IIT Kharagpur,"This research area focuses on Biomimetic chemistry, peptide-based diagnostics & therapeutics. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
chemical,Dr. Aslam Chandbhai Shaikh,"Synthetic organic chemistry, electrophotocatalysis, transition-metal catalysis","CSIR-National Chemical Laboratory (NCL), Pune","This research area focuses on Synthetic organic chemistry, electrophotocatalysis, transition-metal catalysis. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
