branch,Name,Research Area,PHD From,Website,Research Description
mechanical,Navin Kumar,"Biomechanics, biomedical devices, finite-element modelling",IIT Delhi,https://www.iitrpr.ac.in/mech/faculty/navin-kumar,"This research area focuses on Biomechanics, biomedical devices, finite-element modelling. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Anupam Agrawal,"Forming processes, deformation machining, micro-EDM, laser machining, additive manufacturing",IIT Kanpur,https://www.iitrpr.ac.in/mech/faculty/anupam-agrawal,"This research area focuses on Forming processes, deformation machining, micro-EDM, laser machining, additive manufacturing. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Chandrakant Kumar Nirala,"Manufacturing processes, EDM, micro-manufacturing",IIT Patna,https://www.iitrpr.ac.in/mechanical/dr-chandrakant-nirala/,"This research area focuses on Manufacturing processes, EDM, micro-manufacturing. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Chander Shekhar Sharma,"Phase change, micro & nano surface engineering, electronic thermal management",IIT Guwahati,https://www.iitrpr.ac.in/mech/faculty/chander-shekhar-sharma,"This research area focuses on Phase change, micro & nano surface engineering, electronic thermal management. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Devranjan Samanta,"Drop impact dynamics, non-Newtonian fluid mechanics, aerodynamics","Max Planck Institute for Dynamics and Self-Organisation, Germany",https://www.iitrpr.ac.in/mechanical/dr-devranjan-samanta/,"This research area focuses on Drop impact dynamics, non-Newtonian fluid mechanics, aerodynamics. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Jitendra Prasad,"Biomechanics, biomaterials, fracture healing, computational mechanics","Michigan State University, USA",https://www.iitrpr.ac.in/mech/faculty/jitendra-prasad,"This research area focuses on Biomechanics, biomaterials, fracture healing, computational mechanics. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Lipika Kabiraj,"Gas turbine combustors, thermoacoustic instability, atomization of fuels",IIT Kharagpur,https://www.iitrpr.ac.in/mech/faculty/lipika-kabiraj,"This research area focuses on Gas turbine combustors, thermoacoustic instability, atomization of fuels. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Manish Agrawal,"Finite element analysis, continuum mechanics, topology optimization",IIT Kanpur,https://www.iitrpr.ac.in/mech/faculty/manish-agrawal,"This research area focuses on Finite element analysis, continuum mechanics, topology optimization. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Navaneeth K. Marath,"Multiphase flow, porous media, nanofluids",IIT Madras,https://www.iitrpr.ac.in/mech/faculty/navaneeth-k-marath,"This research area focuses on Multiphase flow, porous media, nanofluids. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Dhiraj K. Mahajan,"Hydrogen embrittlement, hydrogen storage, fuel cell membranes",IIT Kanpur,https://www.iitrpr.ac.in/mech/faculty/dhiraj-k-mahajan,"This research area focuses on Hydrogen embrittlement, hydrogen storage, fuel cell membranes. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Ekta Singla,"Modular manipulators, exoskeletons, robotic design",IIT Delhi,https://www.iitrpr.ac.in/mech/faculty/ekta-singla,"This research area focuses on Modular manipulators, exoskeletons, robotic design. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Harpreet Singh,"Surface engineering, high-temperature corrosion, coatings",IIT Roorkee,https://www.iitrpr.ac.in/mech/faculty/harpreet-singh,"This research area focuses on Surface engineering, high-temperature corrosion, coatings. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Himanshu Tyagi,"Bio-heat transfer, nanofluids, solar energy, sustainable energy",IIT Delhi,https://www.iitrpr.ac.in/mech/faculty/himanshu-tyagi,"This research area focuses on Bio-heat transfer, nanofluids, solar energy, sustainable energy. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Prabhat K. Agnihotri,"Hybrid composites, energy-absorbing materials, multiscale modelling",IIT Kanpur,https://www.iitrpr.ac.in/mech/faculty/prabhat-k-agnihotri,"This research area focuses on Hybrid composites, energy-absorbing materials, multiscale modelling. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Prabir Sarkar,"Product design, sustainable manufacturing, design creativity",IISc Bangalore,https://www.iitrpr.ac.in/mech/faculty/prabir-sarkar,"This research area focuses on Product design, sustainable manufacturing, design creativity. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Rajendra Munian,"Vibration control, structural health monitoring",IIT Madras,https://www.iitrpr.ac.in/mech/faculty/rajendra-munian,"This research area focuses on Vibration control, structural health monitoring. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Rakesh Kumar Maurya,"Low-temperature combustion, engine emissions, combustion diagnostics",IIT Kanpur,https://www.iitrpr.ac.in/mech/faculty/rakesh-kumar-maurya,"This research area focuses on Low-temperature combustion, engine emissions, combustion diagnostics. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Ravi Kant,"Laser forming, hybrid machining, additive manufacturing",IIT Kanpur,https://www.iitrpr.ac.in/mech/faculty/ravi-kant,"This research area focuses on Laser forming, hybrid machining, additive manufacturing. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Srikant Sekhar Padhee,"Smart composites, aeroelastic modelling, multifunctional materials",IIT Kanpur,https://www.iitrpr.ac.in/mech/faculty/srikant-sekhar-padhee,"This research area focuses on Smart composites, aeroelastic modelling, multifunctional materials. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
mechanical,Sachin Kumar,"Numerical methods, FEM/XFEM, fracture mechanics, computational mechanics",IIT Kanpur,https://www.iitrpr.ac.in/mech/faculty/sachin-kumar,"This research area focuses on Numerical methods, FEM/XFEM, fracture mechanics, computational mechanics. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
