branch,Name,Research Area,PhD From,Research Description
civil,Dr. Arun Kumar,"Structural Engineering, Structural Health Monitoring, Earthquake Engineering",IIT Roorkee,"This research area focuses on Structural Engineering, Structural Health Monitoring, Earthquake Engineering. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Sushil Kumar,"Geotechnical Engineering, Soil Dynamics, Earthquake Geotechnics",IIT Kanpur,"This research area focuses on Geotechnical Engineering, Soil Dynamics, Earthquake Geotechnics. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Sayantan Ganguly,"Water Resources Engineering, Hydrology, Climate Change Impact on Water Systems",IIT Kharagpur,"This research area focuses on Water Resources Engineering, Hydrology, Climate Change Impact on Water Systems. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Reet Kamal Tiwari,"Geomatics Engineering, Remote Sensing, GIS, Cryosphere Studies",IIT Roorkee,"This research area focuses on Geomatics Engineering, Remote Sensing, GIS, Cryosphere Studies. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Nagesh Kumar,"Transportation Engineering, Traffic Flow Modelling, Intelligent Transportation Systems",IIT Madras,"This research area focuses on Transportation Engineering, Traffic Flow Modelling, Intelligent Transportation Systems. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Shashank Gupta,"Structural Engineering, Composite Structures, Seismic Behaviour of Structures",IIT Delhi,"This research area focuses on Structural Engineering, Composite Structures, Seismic Behaviour of Structures. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Himanshu Chaudhary,"Environmental Engineering, Water and Wastewater Treatment, Solid Waste Management",IIT Delhi,"This research area focuses on Environmental Engineering, Water and Wastewater Treatment, Solid Waste Management. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Pritam Das,"Geotechnical Engineering, Soil–Structure Interaction, Ground Improvement",IIT Guwahati,"This research area focuses on Geotechnical Engineering, Soil–Structure Interaction, Ground Improvement. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Shubham Sharma,"Structural Engineering, Concrete Structures, Structural Reliability",IIT Bombay,"This research area focuses on Structural Engineering, Concrete Structures, Structural Reliability. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
civil,Dr. Abhishek Kumar,"Hydrology, Water Resources Engineering, Watershed Modelling",IIT Roorkee,"This research area focuses on Hydrology, Water Resources Engineering, Watershed Modelling. It involves theoretical study, computational modelling, and experimental methods to understand fundamental principles and develop technologies or applications that solve scientific and engineering problems related to this domain."
